SourceV	Current	Voltage
182771.91892	5.4713E-5	10
182046.56751	5.4931E-5	10
181303.93792	5.5156E-5	10
180521.70774	5.5395E-5	10
179755.8915	5.5631E-5	10
179054.23553	5.5849E-5	10
178249.94207	5.6101E-5	10
177452.84191	5.6353E-5	10
176706.54344	5.6591E-5	10
175978.88253	5.6825E-5	10
175229.55071	5.7068E-5	10
174535.29976	5.7295E-5	10
173746.85084	5.7555E-5	10
173076.2574	5.7778E-5	10
172392.98705	5.8007E-5	10
171747.53113	5.8225E-5	10
171080.54472	5.8452E-5	10
170511.70563	5.8647E-5	10
170235.94702	5.8742E-5	10
169396.77807	5.9033E-5	10
168423.88924	5.9374E-5	10
167655.8361	5.9646E-5	10
166763.94564	5.9965E-5	10
166115.71621	6.0199E-5	10
165579.36219	6.0394E-5	10
165092.78214	6.0572E-5	10
164416.89548	6.0821E-5	10
163671.47861	6.1098E-5	10
162956.68611	6.1366E-5	10
162395.66079	6.1578E-5	10
161917.09845	6.176E-5	10
161402.26286	6.1957E-5	10
160794.97033	6.2191E-5	10
160102.46558	6.246E-5	10
159441.31762	6.2719E-5	10
158704.96746	6.301E-5	10
158115.26603	6.3245E-5	10
157671.50718	6.3423E-5	10
157114.1277	6.3648E-5	10
156568.02881	6.387E-5	10
156018.41017	6.4095E-5	10
155499.23028	6.4309E-5	10
154935.46938	6.4543E-5	10
154509.35554	6.4721E-5	10
154073.70886	6.4904E-5	10
153588.59758	6.5109E-5	10
153244.96207	6.5255E-5	10
152676.4176	6.5498E-5	10
152179.20623	6.5712E-5	10
151800.35218	6.5876E-5	10
151256.1826	6.6113E-5	10
150711.35761	6.6352E-5	10
150206.53398	6.6575E-5	10
149653.55203	6.6821E-5	10
148955.8197	6.7134E-5	10
148372.35526	6.7398E-5	10
147834.95705	6.7643E-5	10
147288.42018	6.7894E-5	10
146623.26618	6.8202E-5	10
145989.66393	6.8498E-5	10
145511.69186	6.8723E-5	10
145020.01276	6.8956E-5	10
144458.56928	6.9224E-5	10
144032.03272	6.9429E-5	10
143601.82087	6.9637E-5	10
143053.33028	6.9904E-5	10
142606.56275	7.0123E-5	10
142184.81182	7.0331E-5	10
141669.14588	7.0587E-5	10
141215.01398	7.0814E-5	10
140728.12733	7.1059E-5	10
140315.42909	7.1268E-5	10
139727.2524	7.1568E-5	10
139300.98764	7.1787E-5	10
138831.04262	7.203E-5	10
138440.87882	7.2233E-5	10
137925.32723	7.2503E-5	10
137421.15461	7.2769E-5	10
136980.67203	7.3003E-5	10
136513.18035	7.3253E-5	10
136039.61474	7.3508E-5	10
135486.66811	7.3808E-5	10
134858.12925	7.4152E-5	10
134314.72627	7.4452E-5	10
133798.95369	7.4739E-5	10
133358.22687	7.4986E-5	10
132975.18683	7.5202E-5	10
132555.67338	7.544E-5	10
132116.10363	7.5691E-5	10
131691.57832	7.5935E-5	10
131442.31654	7.6079E-5	10
131023.82013	7.6322E-5	10
130606.27433	7.6566E-5	10
130164.26731	7.6826E-5	10
129812.80993	7.7034E-5	10
129760.59171	7.7065E-5	10
129093.88999	7.7463E-5	10
128524.79243	7.7806E-5	10
128011.46983	7.8118E-5	10
127541.2596	7.8406E-5	10
127063.18852	7.8701E-5	10
126681.69956	7.8938E-5	10
126273.78683	7.9193E-5	10
125844.73277	7.9463E-5	10
125505.15826	7.9678E-5	10
125087.56129	7.9944E-5	10
124610.5919	8.025E-5	10
124195.83199	8.0518E-5	10
123825.20834	8.0759E-5	10
123449.1698	8.1005E-5	10
123076.92308	8.125E-5	10
122679.81794	8.1513E-5	10
122381.04562	8.1712E-5	10
121976.50733	8.1983E-5	10
121638.2236	8.2211E-5	10
121222.40675	8.2493E-5	10
120818.18072	8.2769E-5	10
120367.36119	8.3079E-5	10
119963.05138	8.3359E-5	10
119530.00801	8.3661E-5	10
119088.73302	8.3971E-5	10
118652.11201	8.428E-5	10
118238.25007	8.4575E-5	10
117913.4044	8.4808E-5	10
117601.40181	8.5033E-5	10
117227.79706	8.5304E-5	10
116851.09665	8.5579E-5	10
116517.52424	8.5824E-5	10
116088.73823	8.6141E-5	10
115748.77885	8.6394E-5	10
115400.15002	8.6655E-5	10
115060.23403	8.6911E-5	10
114698.62935	8.7185E-5	10
114294.85787	8.7493E-5	10
113827.8013	8.7852E-5	10
113481.61598	8.812E-5	10
113142.65025	8.8384E-5	10
112887.20311	8.8584E-5	10
112714.1569	8.872E-5	10
112378.49076	8.8985E-5	10
111886.86001	8.9376E-5	10
111459.11123	8.9719E-5	10
111092.59568	9.0015E-5	10
110748.10344	9.0295E-5	10
110355.78706	9.0616E-5	10
110065.48897	9.0855E-5	10
109789.97178	9.1083E-5	10
109501.43994	9.1323E-5	10
109194.14719	9.158E-5	10
108906.36231	9.1822E-5	10
108631.88998	9.2054E-5	10
108314.19783	9.2324E-5	10
107943.5671	9.2641E-5	10
107629.88236	9.2911E-5	10
107365.2566	9.314E-5	10
106982.76508	9.3473E-5	10
106593.89857	9.3814E-5	10
106324.1611	9.4052E-5	10
106161.62045	9.4196E-5	10
